Meet Name,Event Name,Board,Diver Name,Team,University Name,Athletic Division,Athletic Conference,Score,Place,Total DD,Num Dives
2026 Horizon League Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Hanna Held,YSU,Youngstown State University,D1,Horizon League,244.65,7,15.2,6
2026 Horizon League Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Anna Frederickson,UWGB,UW-Green Bay,D1,Horizon League,236.75,8,13.6,6
2026 Horizon League Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Kristina Wittmann,UWMI,UW-Milwaukee,D1,Horizon League,235.35,9,14.5,6
2026 Horizon League Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Arianna Pagel,INDI,Indiana University Indianapolis,D1,Horizon League,233.05,10,14.3,6
2026 Horizon League Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Kiara Olmstead,UWMI,UW-Milwaukee,D1,Horizon League,210.05,11,14,6
2026 Horizon League Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Rianna Dobbie,UWMI,UW-Milwaukee,D1,Horizon League,209.1,12,14,6
2026 Horizon League Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Abigail Mccool,OAKU,Oakland University,D1,Horizon League,208.85,13,15.4,6
2026 Horizon League Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Natalie Weissman,YSU,Youngstown State University,D1,Horizon League,204.4,14,13.9,6
2026 Horizon League Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Rachel Everson,UWGB,UW-Green Bay,D1,Horizon League,195.2,15,13.7,6
2026 Horizon League Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Haley  Conklin,YSU,Youngstown State University,D1,Horizon League,194.6,16,13.4,6
2026 Horizon League Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Gabriella Bohmer,CS,Cleveland State University,D1,Horizon League,194,17,13.4,6
2026 Horizon League Diving Championships,Women 3m Championship (6 Dives) (Final),3m,Alaina Heyde,INDI,Indiana University Indianapolis,D1,Horizon League,284.6,1,15.2,6
2026 Horizon League Diving Championships,Women 3m Championship (6 Dives) (Final),3m,Hanna Held,YSU,Youngstown State University,D1,Horizon League,270.05,2,15.2,6
2026 Horizon League Diving Championships,Women 3m Championship (6 Dives) (Final),3m,Victoria Sanders,OAKU,Oakland University,D1,Horizon League,258.1,3,16.8,6
2026 Horizon League Diving Championships,Women 3m Championship (6 Dives) (Final),3m,Lorelai Maisano,CS,Cleveland State University,D1,Horizon League,257.1,4,14.3,6
2026 Horizon League Diving Championships,Women 3m Championship (6 Dives) (Final),3m,Elizabeth Woollcott,OAKU,Oakland University,D1,Horizon League,256.9,5,15.9,6
2026 Horizon League Diving Championships,Women 3m Championship (6 Dives) (Final),3m,Lindi Jenkins,INDI,Indiana University Indianapolis,D1,Horizon League,253.65,6,15,6
2026 Horizon League Diving Championships,Women 3m Championship (6 Dives) (Final),3m,Elizabeth Seiter,CS,Cleveland State University,D1,Horizon League,226.65,7,16,6
2026 Horizon League Diving Championships,Women 3m Championship (6 Dives) (Final),3m,Anna Frederickson,UWGB,UW-Green Bay,D1,Horizon League,223.65,8,13.6,6
2026 Horizon League Diving Championships,Women 3m Champ.(6 Dives) CONSOL. (Final),3m,Kristina Wittmann,UWMI,UW-Milwaukee,D1,Horizon League,257.55,1,14.5,6
2026 Horizon League Diving Championships,Women 3m Champ.(6 Dives) CONSOL. (Final),3m,Rianna Dobbie,UWMI,UW-Milwaukee,D1,Horizon League,236.2,2,14,6
2026 Horizon League Diving Championships,Women 3m Champ.(6 Dives) CONSOL. (Final),3m,Natalie Weissman,YSU,Youngstown State University,D1,Horizon League,229.85,3,13.9,6
2026 Horizon League Diving Championships,Women 3m Champ.(6 Dives) CONSOL. (Final),3m,Rachel Everson,UWGB,UW-Green Bay,D1,Horizon League,220.9,4,13.7,6
2026 Horizon League Diving Championships,Women 3m Champ.(6 Dives) CONSOL. (Final),3m,Arianna Pagel,INDI,Indiana University Indianapolis,D1,Horizon League,216.35,5,14.3,6
2026 Horizon League Diving Championships,Women 3m Champ.(6 Dives) CONSOL. (Final),3m,Haley  Conklin,YSU,Youngstown State University,D1,Horizon League,209.7,6,13.4,6
2026 Horizon League Diving Championships,Women 3m Champ.(6 Dives) CONSOL. (Final),3m,Kiara Olmstead,UWMI,UW-Milwaukee,D1,Horizon League,198.65,7,14,6
2026 Horizon League Diving Championships,Women 3m Champ.(6 Dives) CONSOL. (Final),3m,Abigail Mccool,OAKU,Oakland University,D1,Horizon League,194.6,8,15.4,6
2026 Horizon League Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Elizabeth Seiter,CS,Cleveland State University,D1,Horizon League,272.05,1,14.5,6
2026 Horizon League Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Victoria Sanders,OAKU,Oakland University,D1,Horizon League,265.65,2,15.2,6
2026 Horizon League Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Alaina Heyde,INDI,Indiana University Indianapolis,D1,Horizon League,255.2,3,14,6
2026 Horizon League Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Hanna Held,YSU,Youngstown State University,D1,Horizon League,250.55,4,13.8,6
2026 Horizon League Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Kristina Wittmann,UWMI,UW-Milwaukee,D1,Horizon League,242.6,5,14.7,6
2026 Horizon League Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Lindi Jenkins,INDI,Indiana University Indianapolis,D1,Horizon League,241.5,6,14.2,6
2026 Horizon League Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Arianna Pagel,INDI,Indiana University Indianapolis,D1,Horizon League,231.5,7,13.9,6
2026 Horizon League Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Elizabeth Woollcott,OAKU,Oakland University,D1,Horizon League,228.35,8,14.4,6
2026 Horizon League Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Lorelai Maisano,CS,Cleveland State University,D1,Horizon League,223.8,9,13.1,6
2026 Horizon League Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Rianna Dobbie,UWMI,UW-Milwaukee,D1,Horizon League,221.6,10,13.5,6
2026 Horizon League Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Natalie Weissman,YSU,Youngstown State University,D1,Horizon League,217.7,11,13.1,6
2026 Horizon League Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Kiara Olmstead,UWMI,UW-Milwaukee,D1,Horizon League,205.55,12,13.7,6
2026 Horizon League Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Anna Frederickson,UWGB,UW-Green Bay,D1,Horizon League,199.5,13,14,6
2026 Horizon League Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Rachel Everson,UWGB,UW-Green Bay,D1,Horizon League,199.15,14,13.6,6
2026 Horizon League Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Haley  Conklin,YSU,Youngstown State University,D1,Horizon League,186.55,15,14.3,6
2026 Horizon League Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Gabriella Bohmer,CS,Cleveland State University,D1,Horizon League,185.4,16,13.7,6
2026 Horizon League Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Abigail Mccool,OAKU,Oakland University,D1,Horizon League,172.15,17,14,6
2026 Horizon League Diving Championships,Women 1m Championship (6 Dives) (Final),1m,Elizabeth Seiter,CS,Cleveland State University,D1,Horizon League,294.35,1,14.5,6
2026 Horizon League Diving Championships,Women 1m Championship (6 Dives) (Final),1m,Alaina Heyde,INDI,Indiana University Indianapolis,D1,Horizon League,275.5,2,14,6
2026 Horizon League Diving Championships,Women 1m Championship (6 Dives) (Final),1m,Victoria Sanders,OAKU,Oakland University,D1,Horizon League,274.85,3,14.3,6
2026 Horizon League Diving Championships,Women 1m Championship (6 Dives) (Final),1m,Hanna Held,YSU,Youngstown State University,D1,Horizon League,257.85,4,13.8,6
2026 Horizon League Diving Championships,Women 1m Championship (6 Dives) (Final),1m,Kristina Wittmann,UWMI,UW-Milwaukee,D1,Horizon League,253.8,5,14.7,6
2026 Horizon League Diving Championships,Women 1m Championship (6 Dives) (Final),1m,Lindi Jenkins,INDI,Indiana University Indianapolis,D1,Horizon League,243.45,6,14.2,6
2026 Horizon League Diving Championships,Women 1m Championship (6 Dives) (Final),1m,Arianna Pagel,INDI,Indiana University Indianapolis,D1,Horizon League,229.9,7,13.9,6
2026 Horizon League Diving Championships,Women 1m Championship (6 Dives) (Final),1m,Elizabeth Woollcott,OAKU,Oakland University,D1,Horizon League,209.85,8,14.4,6
2026 Horizon League Diving Championships,Women 1m Champ.(6 Dives) CONSOL. (Final),1m,Lorelai Maisano,CS,Cleveland State University,D1,Horizon League,248.5,1,13.1,6
2026 Horizon League Diving Championships,Women 1m Champ.(6 Dives) CONSOL. (Final),1m,Kiara Olmstead,UWMI,UW-Milwaukee,D1,Horizon League,233.9,2,13.7,6
2026 Horizon League Diving Championships,Women 1m Champ.(6 Dives) CONSOL. (Final),1m,Natalie Weissman,YSU,Youngstown State University,D1,Horizon League,221.25,3,13.1,6
2026 Horizon League Diving Championships,Women 1m Champ.(6 Dives) CONSOL. (Final),1m,Rachel Everson,UWGB,UW-Green Bay,D1,Horizon League,214.45,4,13.6,6
2026 Horizon League Diving Championships,Women 1m Champ.(6 Dives) CONSOL. (Final),1m,Haley  Conklin,YSU,Youngstown State University,D1,Horizon League,210.35,5,14.3,6
2026 Horizon League Diving Championships,Women 1m Champ.(6 Dives) CONSOL. (Final),1m,Anna Frederickson,UWGB,UW-Green Bay,D1,Horizon League,204.3,6,14,6
2026 Horizon League Diving Championships,Women 1m Champ.(6 Dives) CONSOL. (Final),1m,Rianna Dobbie,UWMI,UW-Milwaukee,D1,Horizon League,201.3,7,13.5,6
2026 Horizon League Diving Championships,Women 1m Champ.(6 Dives) CONSOL. (Final),1m,Gabriella Bohmer,CS,Cleveland State University,D1,Horizon League,194.2,8,13.7,6
2026 Summit League Swimming and Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Savanna Berry,DENV,University of Denver,D1,Summit League,254.45,1,14.3,6
2026 Summit League Swimming and Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Kaitlin Calvery,DENV,University of Denver,D1,Summit League,247.2,2,14.8,6
2026 Summit League Swimming and Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Anna Bunnell,USI,University of Southern Indiana,D1,Summit League,243.85,3,14.4,6
2026 Summit League Swimming and Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Isabella Price,OMAH,University of Nebraska Omaha,D1,Summit League,242.6,4,13.8,6
2026 Summit League Swimming and Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Ava Snyder,OMAH,University of Nebraska Omaha,D1,Summit League,240.3,5,14.6,6
2026 Summit League Swimming and Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Tatum Brasfield,DENV,University of Denver,D1,Summit League,238.55,6,14,6
2026 Summit League Swimming and Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Madysen Schmidt,USD,University of South Dakota,D1,Summit League,222.5,7,13.9,6
2026 Summit League Swimming and Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Brooke Robbins,OMAH,University of Nebraska Omaha,D1,Summit League,220,8,14.6,6
2026 Summit League Swimming and Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Ava Johnson,OMAH,University of Nebraska Omaha,D1,Summit League,218.7,9,13.8,6
2026 Summit League Swimming and Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Gabbie Meier,USI,University of Southern Indiana,D1,Summit League,216.95,10,13.3,6
2026 Summit League Swimming and Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Eleanor Dalsin,USD,University of South Dakota,D1,Summit League,216.2,11,13.5,6
2026 Summit League Swimming and Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Kathryn Woelfel,USD,University of South Dakota,D1,Summit League,213.05,12,13.9,6
2026 Summit League Swimming and Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Sydney Mccoy,DENV,University of Denver,D1,Summit League,209.45,13,14.2,6
2026 Summit League Swimming and Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Anna Williams,USD,University of South Dakota,D1,Summit League,208.9,14,14.3,6
2026 Summit League Swimming and Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Bronwyn Minnick,OMAH,University of Nebraska Omaha,D1,Summit League,205.55,15,13.4,6
2026 Summit League Swimming and Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Sophia Markfelder,UST,University of St. Thomas (MN),D1,Summit League,205.4,16,14.1,6
2026 Summit League Swimming and Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Samantha Klein,OMAH,University of Nebraska Omaha,D1,Summit League,204.2,17,13.5,6
2026 Summit League Swimming and Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Zoey Johnson,UST,University of St. Thomas (MN),D1,Summit League,193.55,18,13.9,6
2026 Summit League Swimming and Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Lily  Davis,SDKS,South Dakota State University,D1,Summit League,185.9,19,13.8,6
2026 Summit League Swimming and Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Lucia Tenny,USI,University of Southern Indiana,D1,Summit League,175.55,20,13.5,6
2026 Summit League Swimming and Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Autumn Turley,USI,University of Southern Indiana,D1,Summit League,157.95,21,13.5,6
2026 Summit League Swimming and Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Annabelle Gifford,SDKS,South Dakota State University,D1,Summit League,149.4,22,13.1,6
2026 Summit League Swimming and Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Maya Kelly  - - Scratched,UST,University of St. Thomas (MN),D1,Summit League,90.15,23,14,6
2026 Summit League Swimming and Diving Championships,Women 1m Championship (6 Dives) (Final),1m,Savanna Berry,DENV,University of Denver,D1,Summit League,261.25,1,14.3,6
2026 Summit League Swimming and Diving Championships,Women 1m Championship (6 Dives) (Final),1m,Kaitlin Calvery,DENV,University of Denver,D1,Summit League,258.3,2,14.8,6
2026 Summit League Swimming and Diving Championships,Women 1m Championship (6 Dives) (Final),1m,Anna Bunnell,USI,University of Southern Indiana,D1,Summit League,253.45,3,14.3,6
2026 Summit League Swimming and Diving Championships,Women 1m Championship (6 Dives) (Final),1m,Isabella Price,OMAH,University of Nebraska Omaha,D1,Summit League,251.55,4,13.8,6
2026 Summit League Swimming and Diving Championships,Women 1m Championship (6 Dives) (Final),1m,Tatum Brasfield,DENV,University of Denver,D1,Summit League,247.55,5,14,6
2026 Summit League Swimming and Diving Championships,Women 1m Championship (6 Dives) (Final),1m,Ava Snyder,OMAH,University of Nebraska Omaha,D1,Summit League,240.05,6,14.6,6
2026 Summit League Swimming and Diving Championships,Women 1m Championship (6 Dives) (Final),1m,Brooke Robbins,OMAH,University of Nebraska Omaha,D1,Summit League,234.7,7,14.6,6
2026 Summit League Swimming and Diving Championships,Women 1m Championship (6 Dives) (Final),1m,Madysen Schmidt,USD,University of South Dakota,D1,Summit League,222.55,8,13.9,6
2026 Summit League Swimming and Diving Championships,Women 1m Champ.(6 Dives) CONSOL. (Final),1m,Sydney Mccoy,DENV,University of Denver,D1,Summit League,233.75,1,14.2,6
2026 Summit League Swimming and Diving Championships,Women 1m Champ.(6 Dives) CONSOL. (Final),1m,Bronwyn Minnick,OMAH,University of Nebraska Omaha,D1,Summit League,229.3,2,13.6,6
2026 Summit League Swimming and Diving Championships,Women 1m Champ.(6 Dives) CONSOL. (Final),1m,Anna Williams,USD,University of South Dakota,D1,Summit League,221.65,3,14.3,6
2026 Summit League Swimming and Diving Championships,Women 1m Champ.(6 Dives) CONSOL. (Final),1m,Samantha Klein,OMAH,University of Nebraska Omaha,D1,Summit League,220.25,4,13.5,6
2026 Summit League Swimming and Diving Championships,Women 1m Champ.(6 Dives) CONSOL. (Final),1m,Kathryn Woelfel,USD,University of South Dakota,D1,Summit League,216.3,5,13.9,6
2026 Summit League Swimming and Diving Championships,Women 1m Champ.(6 Dives) CONSOL. (Final),1m,Gabbie Meier,USI,University of Southern Indiana,D1,Summit League,209.45,6,13.3,6
2026 Summit League Swimming and Diving Championships,Women 1m Champ.(6 Dives) CONSOL. (Final),1m,Sophia Markfelder,UST,University of St. Thomas (MN),D1,Summit League,206.25,7,14.1,6
2026 Summit League Swimming and Diving Championships,Women 1m Champ.(6 Dives) CONSOL. (Final),1m,Ava Johnson,OMAH,University of Nebraska Omaha,D1,Summit League,184.7,8,13.8,6
2026 Summit League Swimming and Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Kaitlin Calvery,DENV,University of Denver,D1,Summit League,299.2,1,16.4,6
2026 Summit League Swimming and Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Savanna Berry,DENV,University of Denver,D1,Summit League,274.4,2,15.9,6
2026 Summit League Swimming and Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Isabella Price,OMAH,University of Nebraska Omaha,D1,Summit League,261,3,15.6,6
2026 Summit League Swimming and Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Brooke Robbins,OMAH,University of Nebraska Omaha,D1,Summit League,255.45,4,16,6
2026 Summit League Swimming and Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Maya Kelly,UST,University of St. Thomas (MN),D1,Summit League,243.8,5,13.6,6
2026 Summit League Swimming and Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Tatum Brasfield,DENV,University of Denver,D1,Summit League,243.65,6,15.2,6
2026 Summit League Swimming and Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Gabbie Meier,USI,University of Southern Indiana,D1,Summit League,241.3,7,14.4,6
2026 Summit League Swimming and Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Anna Bunnell,USI,University of Southern Indiana,D1,Summit League,240.95,8,15,6
2026 Summit League Swimming and Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Ava Snyder,OMAH,University of Nebraska Omaha,D1,Summit League,227.45,9,15.2,6
2026 Summit League Swimming and Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Sydney Mccoy,DENV,University of Denver,D1,Summit League,227,10,14.8,6
2026 Summit League Swimming and Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Madysen Schmidt,USD,University of South Dakota,D1,Summit League,224.35,11,15.1,6
2026 Summit League Swimming and Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Bronwyn Minnick,OMAH,University of Nebraska Omaha,D1,Summit League,218.4,12,13.9,6
2026 Summit League Swimming and Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Kathryn Woelfel,USD,University of South Dakota,D1,Summit League,208,13,15.1,6
2026 Summit League Swimming and Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Anna Williams,USD,University of South Dakota,D1,Summit League,207.75,14,14.5,6
2026 Summit League Swimming and Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Samantha Klein,OMAH,University of Nebraska Omaha,D1,Summit League,205.8,15,13.6,6
2026 Summit League Swimming and Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Zoey Johnson,UST,University of St. Thomas (MN),D1,Summit League,205.35,16,13.4,6
2026 Summit League Swimming and Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Lily  Davis,SDKS,South Dakota State University,D1,Summit League,192.2,17,14.4,6
2026 Summit League Swimming and Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Lucia Tenny,USI,University of Southern Indiana,D1,Summit League,190.95,18,13.7,6
2026 Summit League Swimming and Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Eleanor Dalsin,USD,University of South Dakota,D1,Summit League,185.6,19,14.1,6
2026 Summit League Swimming and Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Autumn Turley,USI,University of Southern Indiana,D1,Summit League,185.25,20,13.2,6
2026 Summit League Swimming and Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Ava Johnson,OMAH,University of Nebraska Omaha,D1,Summit League,184.4,21,14,6
2026 Summit League Swimming and Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Sophia Markfelder,UST,University of St. Thomas (MN),D1,Summit League,184.15,22,14.2,6
2026 Summit League Swimming and Diving Championships,Women 3m Championship (6 Dives) (Prelim/Quarterfinal),3m,Annabelle Gifford,SDKS,South Dakota State University,D1,Summit League,181,23,12.8,6
2026 Summit League Swimming and Diving Championships,Women 3m Championship (6 Dives) (Final),3m,Savanna Berry,DENV,University of Denver,D1,Summit League,286.05,1,15.9,6
2026 Summit League Swimming and Diving Championships,Women 3m Championship (6 Dives) (Final),3m,Kaitlin Calvery,DENV,University of Denver,D1,Summit League,283.35,2,16.4,6
2026 Summit League Swimming and Diving Championships,Women 3m Championship (6 Dives) (Final),3m,Isabella Price,OMAH,University of Nebraska Omaha,D1,Summit League,265.7,3,15.6,6
2026 Summit League Swimming and Diving Championships,Women 3m Championship (6 Dives) (Final),3m,Brooke Robbins,OMAH,University of Nebraska Omaha,D1,Summit League,259.6,4,16,6
2026 Summit League Swimming and Diving Championships,Women 3m Championship (6 Dives) (Final),3m,Anna Bunnell,USI,University of Southern Indiana,D1,Summit League,257.5,5,15.9,6
2026 Summit League Swimming and Diving Championships,Women 3m Championship (6 Dives) (Final),3m,Tatum Brasfield,DENV,University of Denver,D1,Summit League,254.75,6,15.2,6
2026 Summit League Swimming and Diving Championships,Women 3m Championship (6 Dives) (Final),3m,Gabbie Meier,USI,University of Southern Indiana,D1,Summit League,250.25,7,14.7,6
2026 Summit League Swimming and Diving Championships,Women 3m Championship (6 Dives) (Final),3m,Maya Kelly,UST,University of St. Thomas (MN),D1,Summit League,238.7,8,13.6,6
2026 Summit League Swimming and Diving Championships,Women 3m Champ.(6 Dives) CONSOL. (Final),3m,Madysen Schmidt,USD,University of South Dakota,D1,Summit League,240.65,1,15.1,6
2026 Summit League Swimming and Diving Championships,Women 3m Champ.(6 Dives) CONSOL. (Final),3m,Ava Snyder,OMAH,University of Nebraska Omaha,D1,Summit League,232.8,2,15.2,6
2026 Summit League Swimming and Diving Championships,Women 3m Champ.(6 Dives) CONSOL. (Final),3m,Kathryn Woelfel,USD,University of South Dakota,D1,Summit League,229.1,3,15.1,6
2026 Summit League Swimming and Diving Championships,Women 3m Champ.(6 Dives) CONSOL. (Final),3m,Sydney Mccoy,DENV,University of Denver,D1,Summit League,219.85,4,14.8,6
2026 Summit League Swimming and Diving Championships,Women 3m Champ.(6 Dives) CONSOL. (Final),3m,Anna Williams,USD,University of South Dakota,D1,Summit League,212.65,5,14.5,6
2026 Summit League Swimming and Diving Championships,Women 3m Champ.(6 Dives) CONSOL. (Final),3m,Zoey Johnson,UST,University of St. Thomas (MN),D1,Summit League,204,6,13.4,6
2026 Summit League Swimming and Diving Championships,Women 3m Champ.(6 Dives) CONSOL. (Final),3m,Bronwyn Minnick,OMAH,University of Nebraska Omaha,D1,Summit League,198.45,7,13.9,6
2026 Summit League Swimming and Diving Championships,Women 3m Champ.(6 Dives) CONSOL. (Final),3m,Samantha Klein,OMAH,University of Nebraska Omaha,D1,Summit League,198.1,8,13.6,6
2026 Mountain West Conference Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Bailey Heydra,NEV,"University of Nevada, Reno",D1,Mountain West,309.8,1,14.8,6
2026 Mountain West Conference Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Alina Skrocki,SDSU,San Diego State University,D1,Mountain West,286.85,2,14.8,6
2026 Mountain West Conference Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Alicia Gonzalez Saenz De Jubera,WYO,University of Wyoming,D1,Mountain West,282.45,3,15.4,6
2026 Mountain West Conference Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Belen  Cano,SDSU,San Diego State University,D1,Mountain West,275,4,14.1,6
2026 Mountain West Conference Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Allyse Abbott,UNLV,UNLV,D1,Mountain West,274.15,5,14.7,6
2026 Mountain West Conference Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Natalia Bedolla,FS,Fresno State,D1,Mountain West,273.85,6,14.7,6
2026 Mountain West Conference Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Isabella Gomez,SDSU,San Diego State University,D1,Mountain West,271.6,7,14.4,6
2026 Mountain West Conference Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Alice English,UNM,University of New Mexico,D1,Mountain West,269.4,8,14.8,6
2026 Mountain West Conference Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Lulu Semakula,AFA,U.S. Air Force Academy,D1,Mountain West,258.35,9,14.8,6
2026 Mountain West Conference Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Chloe Perkins,AFA,U.S. Air Force Academy,D1,Mountain West,257.65,10,14,6
2026 Mountain West Conference Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Natalie Six,WYO,University of Wyoming,D1,Mountain West,257.4,11,13.5,6
2026 Mountain West Conference Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Meja Palmer,SDSU,San Diego State University,D1,Mountain West,256.15,12,14.5,6
2026 Mountain West Conference Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Riley Lee,CSU,Colorado State University,D1,Mountain West,255.25,13,14.7,6
2026 Mountain West Conference Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Elinor Windram,SJSU,San Jose State University,D1,Mountain West,255.2,14,14,6
2026 Mountain West Conference Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Sophia Hineline,SDSU,San Diego State University,D1,Mountain West,253.85,15,13.9,6
2026 Mountain West Conference Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Kacey Hu,AFA,U.S. Air Force Academy,D1,Mountain West,249,16,14,6
2026 Mountain West Conference Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Sydney Ovesen,CSU,Colorado State University,D1,Mountain West,246.15,17,14.9,6
2026 Mountain West Conference Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Cayla Jaffe,AFA,U.S. Air Force Academy,D1,Mountain West,240.9,18,13.8,6
