Meet Name,Event Name,Board,Diver Name,Team,University Name,Athletic Division,Athletic Conference,Score,Place,Total DD,Num Dives
2026 ECAC Swimming and Diving Championships,Women 3m Championship (6 Dives) (Final),3m,Lillian Tonole,FU,Fairfield University,D1,MAAC,204.85,6,13.3,6
2026 ECAC Swimming and Diving Championships,Women 3m Championship (6 Dives) (Final),3m,Simone Abbasi,LUM,Loyola University Maryland,D1,Patriot League,185.75,7,13.4,6
2026 ECAC Swimming and Diving Championships,Women 3m Championship (6 Dives) (Final),3m,Jade Leblic,FU,Fairfield University,D1,MAAC,172.9,8,12.6,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Grace Wesche,NAZU,Northern Arizona University,D1,MPSF ,270.05,1,15.3,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Mackenna Stocker,NAZU,Northern Arizona University,D1,MPSF ,264.45,2,15,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Manou Meulebeek,UTRG,UT Rio Grande Valley (UTRGV),D1,MPSF ,262.35,3,15.3,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Maya Salvitti,IDAH,University of Idaho,D1,MPSF ,248.25,4,14.7,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Mira Tinani,NMSU,New Mexico State University,D1,MPSF ,246.25,5,15.3,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Margaret Wesche,NAZU,Northern Arizona University,D1,MPSF ,243,6,14.8,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Jacqueline Johnson,PU,Pepperdine University,D1,MPSF,231.95,7,14.8,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Bella Reynolds,CBU,California Baptist University,D1,MPSF ,230.5,8,14.4,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Amelia Ward,IDAH,University of Idaho,D1,MPSF ,227.65,9,14.4,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Jade Fontenelle,CBU,California Baptist University,D1,MPSF ,226,10,14.2,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Peytton Moore,NMSU,New Mexico State University,D1,MPSF ,213.25,11,14,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Vivian Vallely,PU,Pepperdine University,D1,MPSF,211.35,12,14.4,6
Mountain Pacific Sports Federation Diving Championships,Women 1m Championship (6 Dives) (Prelim/Quarterfinal),1m,Delainey Pisaruk,PU,Pepperdine University,D1,MPSF,210.7,13,13.6,6
